
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:22:02 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_22_02.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x0217749b
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.09s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2400 iterations, 0.16 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 129301 87056 7816.22146   32  257 8295.00000 7182.65438  13.4%   149  956s
 130558 87867 8134.96241   60  120 8295.00000 7182.70848  13.4%   149  962s
 131129 88138 8028.15500   42   43 8295.00000 7182.71345  13.4%   149  965s
 132051 89056 7583.77173   49  143 8295.00000 7182.73212  13.4%   149  971s
 133507 90068 7814.77778   41   17 8295.00000 7182.77025  13.4%   149  977s
 134241 90597 7798.92215   27  156 8295.00000 7182.79175  13.4%   148  980s
 135604 91333 infeasible   56      8295.00000 7182.84382  13.4%   148  986s
 136718 92294 7915.76986   45  106 8295.00000 7182.87317  13.4%   148  992s
 137359 92593 7809.50730   36  105 8295.00000 7182.89229  13.4%   148  995s
 138199 93154 8024.48500   45   22 8295.00000 7182.93597  13.4%   148 1001s
 138974 93805 7930.00000   37   13 8295.00000 7182.97314  13.4%   148 1007s
 139486 94105 7832.86714   35   56 8295.00000 7182.98704  13.4%   148 1010s
 140367 94908 7798.04545   32   98 8295.00000 7183.04607  13.4%   148 1016s
 141071 95318 8196.40840   64  276 8295.00000 7183.05173  13.4%   148 1020s
 142426 96221 7216.13986   39  245 8295.00000 7183.09427  13.4%   148 1028s
 142970 96757 8230.49278   74   33 8295.00000 7183.10266  13.4%   149 1031s
 144780 97934 7800.43598   27  183 8295.00000 7183.14286  13.4%   148 1038s
 145375 98427 8057.53644   45  196 8295.00000 7183.15044  13.4%   148 1041s
 146680 99324 8132.04750   43   31 8295.00000 7183.18350  13.4%   148 1047s
 147253 99729 7979.09262   56  233 8295.00000 7183.21169  13.4%   148 1050s
 148353 100453 7887.08697   34   59 8295.00000 7183.27410  13.4%   148 1056s
 149656 101370 7798.48276   33  106 8295.00000 7183.32234  13.4%   148 1061s
 150755 102201 7819.55520   34  250 8295.00000 7183.32999  13.4%   148 1067s
